"文件编号","清单文件名称","选用来源","文件名","原路径","扩展名","被Gold替代的源文件数","原路径长度","目标路径","执行结果"
"S0023-9001","持续葡萄糖监测系统用户需求规范","项目管理文件","S0023-9001 User Requirements Specification (URS)  For  CGMs  持续葡萄糖监测系统用户需求规范.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9001 User Requirements Specification (URS)  For  CGMs  持续葡萄糖监测系统用户需求规范.docx",".docx","0","150","C:\Users\hejc\Desktop\DHF\S0023-9001 User Requirements Specification (URS)  For  CGMs  持续葡萄糖监测系统用户需求规范.docx","预览"
"S0023-9002","持续葡萄糖监测系统设计和开发计划","项目管理文件","S0023-9002 Design and Development Plan For CGMs持续葡萄糖监测系统设计与开发计划.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9002 Design and Development Plan For CGMs持续葡萄糖监测系统设计与开发计划.docx",".docx","0","137","C:\Users\hejc\Desktop\DHF\S0023-9002 Design and Development Plan For CGMs持续葡萄糖监测系统设计与开发计划.docx","预览"
"S0023-9006","持续葡萄糖监测系统上市前风险管理计划","项目管理文件","S0023-9006 Pre-Market Risk Management Report For CGMs  上市前风险管理报告适用于持续葡萄糖监测系统.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9006 Pre-Market Risk Management Report For CGMs  上市前风险管理报告适用于持续葡萄糖监测系统.docx",".docx","0","150","C:\Users\hejc\Desktop\DHF\S0023-9006 Pre-Market Risk Management Report For CGMs  上市前风险管理报告适用于持续葡萄糖监测系统.docx","预览"
"S0023-9006","持续葡萄糖监测系统上市前风险管理计划","项目管理文件","S0023-9006 Risk Management Plan For CGMs 上市前风险管理计划.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9006 Risk Management Plan For CGMs 上市前风险管理计划.docx",".docx","0","124","C:\Users\hejc\Desktop\DHF\S0023-9006 Risk Management Plan For CGMs 上市前风险管理计划.docx","预览"
"S0023-9007","持续葡萄糖监测系统（CGMs）T1&T2技术评审报告","项目管理文件","S0023-9007 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T1&T2）.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9007 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T1&T2）.docx",".docx","0","118","C:\Users\hejc\Desktop\DHF\S0023-9007 附件A：持续葡萄糖监测系统（CGMs）技术评审检查表（T1&T2）.docx","预览"
"S0023-9007","持续葡萄糖监测系统（CGMs）T1&T2技术评审报告","项目管理文件","S0023-9007_持续葡萄糖监测系统（CGMs）T1&T2技术评审报告.doc","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9007_持续葡萄糖监测系统（CGMs）T1&T2技术评审报告.doc",".doc","0","110","C:\Users\hejc\Desktop\DHF\S0023-9007_持续葡萄糖监测系统（CGMs）T1&T2技术评审报告.doc","预览"
"S0023-9009","持续葡萄糖监测系统危害分析报告","项目管理文件","S0023-9009 HAR for CGMs 持续葡萄糖监测系统危害分析报告.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9009 HAR for CGMs 持续葡萄糖监测系统危害分析报告.docx",".docx","0","113","C:\Users\hejc\Desktop\DHF\S0023-9009 HAR for CGMs 持续葡萄糖监测系统危害分析报告.docx","预览"
"S0023-9010","持续葡萄糖监测系统产品需求规范","项目管理文件","S0023-9010 Product Requirements Specification (PRS) for CGMs  持续葡萄糖监测系统产品需求规范.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9010 Product Requirements Specification (PRS) for CGMs  持续葡萄糖监测系统产品需求规范.docx",".docx","0","151","C:\Users\hejc\Desktop\DHF\S0023-9010 Product Requirements Specification (PRS) for CGMs  持续葡萄糖监测系统产品需求规范.docx","预览"
"S0023-9011","持续葡萄糖监测系统产品需求规范评审报告","项目管理文件","S0023-9011 Product Requirements Specification Review Report For CGMs 持续葡萄糖监测系统产品需求规范评审报告.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9011 Product Requirements Specification Review Report For CGMs 持续葡萄糖监测系统产品需求规范评审报告.docx",".docx","0","162","C:\Users\hejc\Desktop\DHF\S0023-9011 Product Requirements Specification Review Report For CGMs 持续葡萄糖监测系统产品需求规范评审报告.docx","预览"
"S0023-9012","持续葡萄糖监测系统产品设计输入追溯表","项目管理文件","S0023-9012 Design Input Traceability Table CGMs System  设计输入追溯表适用于持续葡萄糖监测系统.docx","D:\ShareCache\LS_SH(上海生命科技)\1、研发部\2、CGM\CGM-欧盟注册-项目管理文件\T1&T2%T3\DHF\S0023-9012 Design Input Traceability Table CGMs System  设计输入追溯表适用于持续葡萄糖监测系统.docx",".docx","0","149","C:\Users\hejc\Desktop\DHF\S0023-9012 Design Input Traceability Table CGMs System  设计输入追溯表适用于持续葡萄糖监测系统.docx","预览"
